date,fifth-price,fifth-value,first-price,first-value,fourth-price,fourth-value,last2-price,last2-value,last3b-price,last3b-value,last3f-price,last3f-value,near1-price,near1-value,second-price,second-value,third-price,third-value
2010-08-01,20000.00,480200|895617|111740|386194|220011|488077|893796|196757|921556|255984|761501|772629|164335|472804|193448|469059|226890|815415|415246|625519|788807|098125|805327|008881|618255|901943|536005|361340|919071|645425|467285|037164|978087|803661|430448|256999|893557|839545|978556|502699|761409|502294|510914|210661|167816|809490|639828|224715|698161|981040|104614|298534|358256|792590|458739|328607|133795|379660|310666|767565|298792|910685|318163|143072|790067|934866|637095|649923|119258|418324|181733|419215|896365|073178|403813|275940|780150|929673|675744|984704|525800|807242|157538|630300|267099|647123|887991|182879|237789|040417|310552|378853|038854|333998|085745|262713|625221|760062|488452|573377,6000000.00,210008,40000.00,399701|901794|893992|234294|072370|425135|821186|777973|428317|594336|269275|813071|000354|212198|719838|823884|289132|869889|394887|271778|216568|599023|129240|456064|301330|621893|603548|222141|355538|037001|659072|903524|818342|352320|090636|853625|564877|526529|358445|463783|509336|081376|649616|080462|799733|303517|331790|875656|599688|694759,2000.00,10,4000.00,769|182|727|191,4000.00,,100000.00,210007|210009,200000.00,220768|764115|484505|877126|089453,80000.00,143357|085622|827778|433041|493511|964812|995580|447656|816146|383895
2010-08-16,20000.00,925626|100217|566839|806268|562598|566705|652355|785524|904770|803829|901728|128360|691476|073550|387287|803196|743317|096919|973548|714343|949468|078395|461036|935387|613859|640394|750791|376868|056499|963064|368878|909925|875378|586555|828604|718569|262900|605244|026737|790242|182814|688783|705749|183016|595528|628055|898066|058306|994343|179053|526105|144643|621257|807782|267381|937431|308730|358029|831473|012178|496244|477372|164975|087409|212329|651204|183394|523454|093808|147979|891607|522372|636721|463486|097961|843187|755534|886887|875958|423502|971737|663783|670240|134439|386235|744016|204231|832270|379539|602825|188337|661916|876937|202128|276171|386197|190109|715264|750452|364376,6000000.00,911097,40000.00,363638|106639|872176|449900|639927|520928|361792|247641|622829|879358|436289|418992|733710|970091|243150|848134|134334|719209|678403|559352|950084|422424|688307|737234|946244|450722|157125|956390|579595|862985|096911|705190|062680|892149|981907|505339|775540|618836|153068|561304|158124|417648|317763|409484|270475|425012|343113|232955|163890|166132,2000.00,64,4000.00,986|578|448|689,4000.00,,100000.00,911096|911098,200000.00,519877|190605|772041|167432|651990,80000.00,523527|036617|301904|967731|410505|204694|978040|436970|056348|572586
2010-09-01,20000.00,693223|369560|364692|134569|284855|265389|954825|442599|454139|606923|133652|948709|220533|173397|303837|494702|471623|529431|906113|856975|126556|107639|464467|721685|330848|329753|761707|829917|968314|414034|260414|336535|343349|359059|687237|512175|369689|205842|493089|754548|727052|852646|048880|393308|231834|001228|695110|370822|935440|609029|168376|685727|581481|330924|399301|751197|618037|915834|270235|282943|638205|366636|827082|910544|625859|124086|795986|698024|892578|953233|728985|337448|255981|207099|895769|646484|480961|185682|382486|243713|823991|681800|854936|724070|997962|987493|364948|152921|434332|675300|951772|850983|335263|260548|947662|060111|756355|687492|991442|422284,6000000.00,354656,40000.00,559671|576337|340497|266829|677213|637611|363050|619192|361884|662477|753724|739668|596304|923031|282730|936276|044194|091823|913903|706025|565709|554744|871525|925345|117899|008465|494949|424575|017424|197193|773026|159662|652738|008279|886691|203263|367554|656184|249667|266972|195671|747823|424944|615941|950999|930565|548839|889846|161770|828045,2000.00,11,4000.00,784|570|656|096,4000.00,,100000.00,354655|354657,200000.00,841396|888140|030494|794459|084448,80000.00,304996|285117|715064|881739|884516|503406|678662|340454|049503|176051
2010-09-16,20000.00,809168|079703|473136|558617|909559|071325|259707|465741|951324|619344|783856|419061|849173|182967|797285|656089|830930|597299|098938|941230|110715|367080|897468|921787|234046|013918|505120|677832|800505|681230|124743|599195|031692|790767|841960|695676|626749|926017|351403|734372|614166|982162|093366|698930|837066|563586|661673|735604|780080|442647|096527|191091|530653|079913|212366|813225|982860|323679|663432|299356|100677|224910|833703|881505|551319|657719|255202|479130|334376|439214|372421|475631|077926|552828|713957|431211|076429|270224|704764|374565|359843|579340|962781|066451|461025|521974|274735|453021|842908|296264|295957|189285|998136|766882|011639|830493|651542|959471|438609|642843,6000000.00,017422,40000.00,703633|783791|259034|339271|734640|794139|032658|313316|853471|132896|081024|632031|479861|892952|710422|184872|228747|738824|627319|968953|302467|458325|119120|389396|929778|082230|706479|908466|674037|512166|466896|195950|380517|887174|213799|263045|782838|053201|345466|762125|069748|363440|514332|550200|672432|875399|204945|316526|693405|385965,2000.00,66,4000.00,103|316|431|075,4000.00,,100000.00,017421|017423,200000.00,671244|701372|522445|846774|335355,80000.00,634202|813645|588018|016289|675685|724912|283523|243891|489012|653889
2010-10-01,20000.00,936469|301200|606388|943933|358710|276086|393396|716620|671111|691845|700211|212291|464368|262214|151623|032954|391716|089286|906749|588306|409533|776098|832889|316897|938599|732975|003210|371347|850113|795188|498465|595808|814734|509346|396581|196962|553600|656542|015439|681213|110473|951518|796118|375693|274277|094308|586729|842265|748122|232841|143041|275254|685111|926037|215366|979227|753218|538316|141492|118963|838378|984571|198338|805342|187367|490924|983517|114034|769245|697263|952033|035913|170463|083408|828981|798898|554366|205664|044357|562500|346458|507526|679530|853731|938376|159701|263810|673056|923830|416845|739355|062150|504137|289182|043572|616558|561046|195395|236876|219915,6000000.00,488372,40000.00,735608|619065|810578|462374|863177|021517|468356|084650|049784|024043|157567|948943|395294|535343|323508|919520|383251|012577|138016|074759|566466|570179|539132|967633|786064|823262|656408|818712|135610|133618|020394|450062|664519|285030|298390|229281|769061|871069|791274|334831|285693|134734|074144|369146|262727|157121|865516|573209|920942|393787,2000.00,02,4000.00,091|996|003|246,4000.00,,100000.00,488371|488373,200000.00,722517|251345|656164|638475|212083,80000.00,006547|897671|624232|097463|126442|755348|937263|576897|139486|952874
2010-10-16,20000.00,770987|216441|497182|880108|022715|761588|953607|979597|634828|692721|972909|695002|938174|178441|282889|109123|699575|530881|748430|232510|011606|874425|015677|431647|431125|591471|263929|757324|137862|902541|289547|993044|642740|683815|814124|982843|897624|710073|614089|258687|724720|166357|170233|906837|225687|786615|921749|869127|772219|625873|316690|440809|310427|262969|728147|260731|267732|986149|771687|798734|409883|045235|976006|224227|518576|561550|603948|843116|368244|973866|254897|057661|696554|160240|689013|981649|878730|429508|912964|855389|576041|463077|273405|980603|315870|079419|955536|009657|894723|307865|666093|406572|959005|949162|274643|458144|274645|053982|327737|757162,6000000.00,621377,40000.00,613417|468915|359753|983668|360475|507690|253643|245767|860078|579319|915654|112660|409804|951641|096888|232919|142345|696007|791835|685527|193628|034047|122054|817998|524322|754173|303278|307704|996314|844692|866920|166211|574643|344967|182924|051590|777045|128624|366384|974010|417744|873570|670794|276995|971661|217978|515080|916002|029052|169521,2000.00,42,4000.00,310|518|385|872,4000.00,,100000.00,621376|621378,200000.00,098622|760942|764060|245057|850821,80000.00,648834|352743|868992|348171|334773|974904|884333|835298|252688|924902
2010-11-01,20000.00,724044|119010|895498|615385|208838|567158|111690|711933|560044|464610|996850|055366|917369|493847|781028|869050|625269|570698|697215|683540|430823|640345|824470|899824|010293|886639|581335|001314|050812|307334|399935|360948|867539|607599|376795|155293|600553|682386|275051|698048|532774|966224|939554|722186|467071|607639|397930|526663|515581|348453|516991|388511|543985|330817|151498|967957|841432|516508|528950|690188|584335|935037|667429|302020|295891|080542|633258|503001|509282|626501|693923|211038|257257|147061|619615|874718|015983|410167|799543|698081|159206|953785|309645|279569|744253|665632|500608|391260|718933|996797|477790|084669|681968|205249|385949|098264|053951|526111|721577|792382,6000000.00,191100,40000.00,854600|888989|812344|352508|396714|215295|748552|117531|206248|843932|076410|134136|075895|824437|192766|528690|505427|941791|370809|923877|861128|369848|686377|113098|643744|452090|004966|870998|968498|707142|844337|913748|259686|637950|461167|382792|476387|483198|853099|590230|348906|260388|316463|162647|944373|090482|041825|138797|414382|492425,2000.00,59,4000.00,653|968|801|739,4000.00,,100000.00,191099|191101,200000.00,014092|920120|463505|342266|384509,80000.00,988635|108002|576384|403882|492052|941806|493706|979156|289298|645214
2010-11-16,20000.00,238942|561240|568562|186585|662293|079935|863327|160197|040525|223194|772688|429658|175967|419990|827921|184372|980379|551209|669427|318355|353553|455344|967680|216739|316971|976300|863361|785378|776003|535877|432522|335541|277143|727025|497228|247063|042790|005967|722165|301805|317060|402083|704881|734838|724815|837283|733854|702585|487586|995172|557516|628370|555839|793330|082385|420130|985240|434476|944601|704254|907466|132098|265809|832825|871026|299559|634440|856564|043605|303829|233820|440823|956832|517490|236073|186494|188486|940760|999482|185737|260868|544234|022378|145474|079446|360080|193824|346796|476667|598613|425308|403077|424057|900084|912236|198893|981106|292932|565268|074784,6000000.00,813993,40000.00,483756|467603|145275|454689|891787|076834|052628|780123|945780|073150|714931|094740|510873|558355|734964|817219|573868|088728|091616|992221|839399|743451|382688|831847|786802|309407|023988|145758|529180|416737|418490|178860|564490|909012|822361|963841|678522|426295|913450|184248|177167|557641|463922|109907|479048|158502|191362|526204|101832|465324,2000.00,43,4000.00,763|979|907|129,4000.00,,100000.00,813992|813994,200000.00,096835|579668|104173|856098|348227,80000.00,439855|197390|319062|606668|056146|400996|510286|795973|740361|505101
2010-12-01,20000.00,658635|352825|658442|788820|702151|677943|552199|142741|326582|494577|939997|023229|533552|891274|489707|492046|310814|140848|103471|241334|981826|799820|653419|759593|244137|713418|593891|876150|933821|033864|242005|806913|969351|666551|879761|725276|017729|943143|637349|590958|858705|411161|608230|746212|039705|343690|444307|686899|067807|735429|710793|015572|783099|919500|185508|362435|184981|269189|634472|204235|453067|422560|349163|708264|598388|481713|276669|687926|769502|178334|731979|086618|504058|488524|832875|599989|625220|924780|848148|956794|013385|431806|151345|923961|821501|344936|289373|600254|942366|861078|243962|310019|824177|429830|489189|786723|320928|889289|285401|452367,6000000.00,181752,40000.00,128818|018023|190864|672480|062005|890679|113626|329620|187364|921804|375855|051001|336787|019265|178274|979698|269844|193806|910222|502959|576786|730155|322538|562863|969214|668844|904615|672585|748176|921094|267205|653089|818352|295330|030587|398507|613524|849520|250460|478209|862898|915022|452924|852943|389405|089541|413499|044056|791592|320886,2000.00,09,4000.00,664|470|474|086,4000.00,,100000.00,181751|181753,200000.00,301500|351912|221254|620379|057062,80000.00,416550|164204|690447|808420|291852|269675|089181|678645|139529|155970
2010-12-16,20000.00,293336|640577|848343|526428|639827|628192|328966|495964|873513|131656|824905|426651|373535|179357|240130|800848|493753|291799|870042|305874|583694|595292|719484|357293|898877|692564|127568|172363|396058|790876|584123|158229|292604|170352|194607|961593|506493|933897|413884|859007|231115|842269|577854|194510|395940|520564|059285|052930|231152|573396|077782|663499|653421|260128|635411|448473|627182|237263|324888|857513|118017|844133|520604|001254|077348|719345|767976|988527|252595|783650|198201|360589|892285|112882|451655|329232|987808|394356|615130|287816|138643|015728|549932|756009|143853|399785|592263|649788|515972|404280|326325|418637|752172|074340|515801|536280|582613|454061|710486|467788,6000000.00,334380,40000.00,670891|677491|954826|805945|291263|969224|672728|177571|256539|172619|870414|870850|749254|926530|020457|044384|790324|860952|805492|086219|144780|404499|753897|816124|702964|377892|005188|733308|816768|156013|133130|373759|087216|330288|624575|600215|648535|186919|454050|298755|575880|224530|869771|036333|092549|113836|897283|978140|815477|289399,2000.00,24,4000.00,529|315|533|306,4000.00,,100000.00,334379|334381,200000.00,945771|119865|059875|093531|117487,80000.00,287015|871979|777699|794342|304293|251200|373867|182974|282322|926215
